ticker,model,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc,tn,fp,fn,tp,best_params
MSFT,LogReg,Price-only,0.5404040404040404,0.3818920757922474,0.7521672420406598,0.5404040404040404,0.48913517535082984,1,182,0,213,"{""C"": 59.2227322636962, ""solver"": ""lbfgs"", ""class_weight"": ""balanced"", ""threshold"": 0.35}"
MSFT,LogReg,Price + Sentiment,0.5378787878787878,0.3762501865950142,0.2893135904499541,0.5378787878787878,0.5105569665717438,0,183,0,213,"{""C"": 0.004185822729546971, ""solver"": ""liblinear"", ""class_weight"": null, ""threshold"": 0.3}"
MSFT,LogReg,Price-only,0.48484848484848486,0.36213249116474916,0.6023203463203464,0.48484848484848486,0.5108904794889556,177,6,198,15,"{""C"": 0.026537690054913757, ""solver"": ""lbfgs"", ""class_weight"": ""balanced"", ""threshold"": 0.555}"
MSFT,LogReg,Price + Sentiment,0.5227272727272727,0.4775101630316266,0.5036490036295846,0.5227272727272727,0.509197260063111,38,145,44,169,"{""C"": 0.33955723700068, ""solver"": ""lbfgs"", ""class_weight"": ""balanced"", ""threshold"": 0.495}"
MSFT,RandomForest,Price-only,0.5454545454545454,0.47801383399209485,0.5383410255324553,0.5454545454545454,0.48213140408938143,30,153,27,186,"{""n_estimators"": 210, ""max_depth"": 23, ""min_samples_leaf"": 8, ""max_features"": 0.8, ""class_weight"": ""balanced"", ""bootstrap"": false, ""threshold"": 0.335}"
MSFT,RandomForest,Price + Sentiment,0.5378787878787878,0.5152762491745543,0.5284090909090909,0.5378787878787878,0.4942533158880423,56,127,56,157,"{""n_estimators"": 239, ""max_depth"": 23, ""min_samples_leaf"": 16, ""max_features"": 1.0, ""class_weight"": null, ""bootstrap"": false, ""threshold"": 0.39}"
MSFT,RandomForest,Price-only (post2021-09-01),0.4276315789473684,0.42023509367335576,0.44072022160664825,0.4276315789473684,0.45500700280112044,38,30,57,27,"{""n_estimators"": 156, ""max_depth"": 11, ""min_samples_leaf"": 19, ""max_features"": 0.4, ""class_weight"": ""balanced"", ""bootstrap"": true, ""threshold"": 0.5}"
MSFT,RandomForest,Price + Sentiment (post2021-09-01),0.4342105263157895,0.42781575744264155,0.44763872263196514,0.4342105263157895,0.4588585434173669,38,30,56,28,"{""n_estimators"": 118, ""max_depth"": 18, ""min_samples_leaf"": 19, ""max_features"": ""log2"", ""class_weight"": ""balanced"", ""bootstrap"": false, ""threshold"": 0.535}"
TSLA,RandomForest,Price-only (post2021-09-01),0.4934210526315789,0.4517322749528913,0.49581846565566456,0.4934210526315789,0.5032034632034632,58,17,60,17,"{""n_estimators"": 197, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": 0.8, ""class_weight"": ""balanced"", ""bootstrap"": true, ""threshold"": 0.555}"
TSLA,RandomForest,Price + Sentiment (post2021-09-01),0.4934210526315789,0.4266365384269825,0.49614514802631576,0.4934210526315789,0.529004329004329,63,12,65,12,"{""n_estimators"": 427, ""max_depth"": 25, ""min_samples_leaf"": 8, ""max_features"": 0.8, ""class_weight"": null, ""bootstrap"": true, ""threshold"": 0.59}"
GOOGL,RandomForest,Price-only (post2021-09-01),0.4868421052631579,0.46776351759661594,0.47282834746440566,0.4868421052631579,0.49365327769083633,20,51,27,54,"{""n_estimators"": 284, ""max_depth"": 15, ""min_samples_leaf"": 7, ""max_features"": 0.6, ""class_weight"": null, ""bootstrap"": false, ""threshold"": 0.44}"
GOOGL,RandomForest,Price + Sentiment (post2021-09-01),0.48026315789473684,0.4733793786792563,0.4734549368652739,0.48026315789473684,0.46617979481829247,25,46,33,48,"{""n_estimators"": 276, ""max_depth"": 16, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""class_weight"": ""balanced"", ""bootstrap"": true, ""threshold"": 0.5}"
MSFT,LogReg,Price-only (post2021-09-01),0.46710526315789475,0.3634669371770979,0.542845076165788,0.46710526315789475,0.44502801120448177,63,5,76,8,"{""C"": 0.5225175467221744, ""solver"": ""lbfgs"", ""class_weight"": ""balanced"", ""threshold"": 0.6}"
MSFT,LogReg,Price + Sentiment (post2021-09-01),0.45394736842105265,0.4405204332329838,0.4721975293504582,0.45394736842105265,0.44152661064425774,43,25,58,26,"{""C"": 0.2424612606832583, ""solver"": ""liblinear"", ""class_weight"": ""balanced"", ""threshold"": 0.53}"
MSFT,LogReg,Price-only,0.46710526315789475,0.3634669371770979,0.542845076165788,0.46710526315789475,0.44502801120448177,63,5,76,8,"{""C"": 0.5225175467221744, ""solver"": ""lbfgs"", ""class_weight"": ""balanced"", ""threshold"": 0.6}"
MSFT,LogReg,Price + Sentiment,0.45394736842105265,0.4405204332329838,0.4721975293504582,0.45394736842105265,0.44152661064425774,43,25,58,26,"{""C"": 0.2424612606832583, ""solver"": ""liblinear"", ""class_weight"": ""balanced"", ""threshold"": 0.53}"
